artistName|artistUri|songName|songUri|songDuration|songPopularity|played_at
Genesis|spotify:artist:3CkvROUTQ6nRi9yQOcsB50|Follow You Follow Me - 2007 Remaster|spotify:track:6gyU6PaPpzTCUYzZcVICwk|240626|55|2021-04-16T14:17:56.916Z
Peter Frampton|spotify:artist:0543y7yrvny4KymoaneT4W|I'm In You|spotify:track:03zB9duFz1JqLxAIYvGdac|250000|50|2021-04-16T14:13:55.693Z
Don Henley|spotify:artist:5dbuFbrHa1SJlQhQX9OUJ2|The End Of The Innocence|spotify:track:3NWcFiL6oCEagrFiTdDr1m|315306|61|2021-04-16T14:09:45.332Z
Eagles|spotify:artist:0ECwFtbIWEVNwjlrfc6xoL|Take It Easy - 2013 Remaster|spotify:track:4yugZvBYaoREkJKtbG08Qr|211577|79|2021-04-16T14:04:29.559Z
Tom Petty and the Heartbreakers|spotify:artist:4tX2TplrkIP4v05BNC903e|Breakdown|spotify:track:5x53pbGk6sbl1BGom19QQ5|163893|65|2021-04-16T14:00:57.457Z
James Taylor|spotify:artist:0vn7UBvSQECKJm2817Yf1P|Fire and Rain - 2019 Remaster|spotify:track:1oht5GevPN9t1T3kG1m1GO|203613|74|2021-04-16T13:58:13.066Z
Peter Frampton|spotify:artist:0543y7yrvny4KymoaneT4W|Breaking All The Rules|spotify:track:6ItRcZaLxV5oSSJyhbwFkj|425840|55|2021-04-16T13:54:48.986Z
Bad Company|spotify:artist:5AEG63ajney2BoDXi0Vb84|Feel like Makin' Love - 2015 Remaster|spotify:track:3KPwt1LBpt1jVSHz8GXERo|313840|69|2021-04-16T13:47:42.675Z
Carole King|spotify:artist:319yZVtYM9MBGqmSQnMyY6|It's Too Late|spotify:track:12q3V8ShACq2PSWINMc2rC|233173|70|2021-04-16T13:42:28.356Z
Eagles|spotify:artist:0ECwFtbIWEVNwjlrfc6xoL|One of These Nights - 2013 Remaster|spotify:track:608xszaAxVh4m7NcKJiAbF|291685|72|2021-04-16T13:38:34.545Z
Stevie Ray Vaughan|spotify:artist:5fsDcuclIe8ZiBD5P787K1|Pride and Joy|spotify:track:1a2iF9XymafjRk56q7oCxo|219586|67|2021-04-16T13:33:42.643Z
Peter Frampton|spotify:artist:0543y7yrvny4KymoaneT4W|Show Me The Way|spotify:track:6BD1X1PeV5UzYUdiVaD2yL|243266|68|2021-04-16T13:30:02.507Z
Stevie Ray Vaughan|spotify:artist:5fsDcuclIe8ZiBD5P787K1|Mary Had a Little Lamb|spotify:track:0nFZ2HQRnIxiwraCm2X6Uq|166960|59|2021-04-15T23:40:25.176Z
Stevie Ray Vaughan|spotify:artist:5fsDcuclIe8ZiBD5P787K1|Texas Flood|spotify:track:5MtN38MGEWJt60LwtBmFNP|320906|59|2021-04-15T23:37:06.990Z
Faces|spotify:artist:3v4feUQnU3VEUqFrjmtekL|Stay With Me|spotify:track:7fLTytvnvxy653VWxflTRf|279360|64|2021-04-15T23:23:25.095Z
Birdy|spotify:artist:2WX2uTcsvV5OnS0inACecP|Not About Angels|spotify:track:5sF7hdYvhrcgNq8NZjfK8L|189475|75|2021-04-15T23:23:04.582Z
Three Dog Night|spotify:artist:4FAEZeJcsYYBkNq2D3KGTV|Never Been To Spain - Single Version|spotify:track:61OQuSzsom6geFCA18JwO6|226066|62|2021-04-15T18:42:30.027Z
Christopher Cross|spotify:artist:695W5F2Ih8dYahLdjVOIoH|Ride Like the Wind|spotify:track:7gUMShP1l20tC0xf17Zplk|275506|67|2021-04-15T18:38:43.471Z
The Honeydrippers|spotify:artist:7J7YRBSoiXpdTmcbkKZL2C|Sea of Love - 2006 Remaster|spotify:track:0VMGij4wSGBM5pSTcqjxeD|183880|53|2021-04-15T18:34:07.480Z
Genesis|spotify:artist:3CkvROUTQ6nRi9yQOcsB50|Follow You Follow Me - 2007 Remaster|spotify:track:6gyU6PaPpzTCUYzZcVICwk|240626|55|2021-04-15T18:31:03.119Z
Peter Frampton|spotify:artist:0543y7yrvny4KymoaneT4W|I'm In You|spotify:track:03zB9duFz1JqLxAIYvGdac|250000|50|2021-04-15T18:27:02.019Z
Don Henley|spotify:artist:5dbuFbrHa1SJlQhQX9OUJ2|The End Of The Innocence|spotify:track:3NWcFiL6oCEagrFiTdDr1m|315306|61|2021-04-15T18:22:51.530Z
Eagles|spotify:artist:0ECwFtbIWEVNwjlrfc6xoL|Take It Easy - 2013 Remaster|spotify:track:4yugZvBYaoREkJKtbG08Qr|211577|79|2021-04-15T18:17:35.763Z
Tom Petty and the Heartbreakers|spotify:artist:4tX2TplrkIP4v05BNC903e|Breakdown|spotify:track:5x53pbGk6sbl1BGom19QQ5|163893|65|2021-04-15T18:14:03.669Z
